,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData
9588,Шеф Хаус,832187187,кафе,Центральный административный округ,район Арбат,"город Москва, Трубниковский переулок, дом 8/15",30,37.5872288328226,55.75130243613377,"{type=Point, coordinates=[37.58722883282261, 55.75130243613377]}"
9589,Кофе Эли,832187190,кафе,Северо-Восточный административный округ,Алексеевский район,"город Москва, улица Павла Корчагина, дом 2/1",4,37.65546595678291,55.81183622096504,"{type=Point, coordinates=[37.65546595678291, 55.811836220965034]}"
9592,Пицца Лока,832187201,кафе,Северный административный округ,Головинский район,"город Москва, Кронштадтский бульвар, дом 15, корпус 1",12,37.49431755440778,55.842620006015686,"{type=Point, coordinates=[37.49431755440778, 55.842620006015686]}"
9594,МОККА,832187212,кафе,Юго-Западный административный округ,Гагаринский район,"город Москва, Ленинский проспект, дом 67",40,37.55237313988159,55.69131685652672,"{type=Point, coordinates=[37.55237313988158, 55.69131685652672]}"
9595,Перелетный кабак,832187217,кафе,Центральный административный округ,район Хамовники,"город Москва, Мансуровский переулок, дом 10, строение 2",40,37.59380204450518,55.74029256497033,"{type=Point, coordinates=[37.59380204450518, 55.74029256497033]}"
9597,WaKeCup,832187224,кафе,Северный административный округ,район Аэропорт,"город Москва, улица Верхняя Масловка, дом 21",2,37.56053027664026,55.795896261399925,"{type=Point, coordinates=[37.56053027664026, 55.79589626139992]}"
9598,Рубим Бургер,832187225,кафе,Северный административный округ,район Беговой,"город Москва, улица Нижняя Масловка, дом 5",24,37.58324680007789,55.79167732528849,"{type=Point, coordinates=[37.58324680007789, 55.79167732528849]}"
9599,Кафе «Волконский»,832187226,кафе,Центральный административный округ,Таганский район,"город Москва, переулок Маяковского, дом 3",2,37.66051941623322,55.739513591767604,"{type=Point, coordinates=[37.66051941623323, 55.7395135917676]}"
9600,Он Мой,832187228,кафе,Центральный административный округ,Мещанский район,"город Москва, проспект Мира, дом 45",6,37.63368726335528,55.78255345033952,"{type=Point, coordinates=[37.63368726335528, 55.78255345033952]}"
9602,Скай кофе,832187235,кафе,Западный административный округ,район Раменки,"город Москва, Мосфильмовская улица, дом 2В",12,37.532595301556896,55.72579945153839,"{type=Point, coordinates=[37.532595301556896, 55.725799451538386]}"
9604,CUPS & HUGS,832187244,кафе,Центральный административный округ,Красносельский район,"город Москва, Орликов переулок, дом 6",10,37.64875870621461,55.77094640139402,"{type=Point, coordinates=[37.64875870621461, 55.77094640139403]}"
9605,Веранда,832187246,кафе,Восточный административный округ,район Северное Измайлово,"город Москва, 5-я Парковая улица, дом 54, корпус 2",46,37.789708000000005,55.80321177114831,"{type=Point, coordinates=[37.789708000000005, 55.803211771148305]}"
9607,Кофейня «Как Дома»,832187257,кафе,Северо-Восточный административный округ,Останкинский район,"город Москва, 1-я Останкинская улица, дом 25",12,37.623210562951336,55.824626570721136,"{type=Point, coordinates=[37.623210562951336, 55.82462657072114]}"
9609,У Михалыча хинкальная №1,832187263,кафе,Северо-Западный административный округ,район Покровское-Стрешнево,"город Москва, улица Свободы, дом 24/9",45,37.45432786813746,55.834168978636214,"{type=Point, coordinates=[37.45432786813746, 55.83416897863621]}"
9610,СушиСтор,832187264,кафе,Северо-Восточный административный округ,район Отрадное,"город Москва, Северный бульвар, дом 2",4,37.60724318759763,55.86490605735348,"{type=Point, coordinates=[37.60724318759763, 55.86490605735348]}"
9611,Лепим и варим,832187266,кафе,Центральный административный округ,Тверской район,"город Москва, Столешников переулок, дом 9, строение 1",29,37.61507829938794,55.76317231184283,"{type=Point, coordinates=[37.615078299387946, 55.76317231184283]}"
9617,Гриль и Гирос,832187285,кафе,Северный административный округ,Хорошёвский район,"город Москва, 1-й Хорошёвский проезд, дом 12, корпус 1",12,37.546013119119536,55.775356971656734,"{type=Point, coordinates=[37.546013119119536, 55.775356971656734]}"
9619,Чайхана easy,832187292,кафе,Центральный административный округ,Басманный район,"город Москва, улица Покровка, дом 4, строение 1",48,37.641071507025615,55.758519476657995,"{type=Point, coordinates=[37.64107150702562, 55.758519476657995]}"
9620,Пикколо,832187295,кафе,Юго-Западный административный округ,Академический район,"город Москва, проспект 60-летия Октября, дом 25, корпус 1",12,37.57613295567724,55.69074305954825,"{type=Point, coordinates=[37.57613295567723, 55.69074305954825]}"
9623,Кафе «Tilda Food & Bar»,832187301,кафе,Центральный административный округ,Пресненский район,"город Москва, Большой Палашёвский переулок, дом 14/7, строение 1",30,37.60076537843744,55.76459699319531,"{type=Point, coordinates=[37.600765378437444, 55.76459699319531]}"
9625,Раковая на Анохина,832187317,кафе,Западный административный округ,район Тропарёво-Никулино,"город Москва, улица Академика Анохина, дом 60",6,37.468821865949685,55.64915795125823,"{type=Point, coordinates=[37.46882186594968, 55.649157951258225]}"
9626,Такие Пироги,832187320,кафе,Северный административный округ,район Сокол,"город Москва, Ленинградский проспект, дом 69, строение 1",12,37.517700126741516,55.80282294882445,"{type=Point, coordinates=[37.51770012674152, 55.80282294882445]}"
9628,РЭДИМЭЙД,832187326,кафе,Западный административный округ,район Раменки,"город Москва, Мичуринский проспект, дом 3",35,37.512563701366474,55.70433454728778,"{type=Point, coordinates=[37.512563701366474, 55.704334547287786]}"
9629,Кафе «Штолле»,832187327,кафе,Западный административный округ,район Раменки,"город Москва, Мичуринский проспект, дом 34",10,37.49789835487559,55.69829511437615,"{type=Point, coordinates=[37.49789835487559, 55.69829511437615]}"
9630,JJ Coffee,832187329,кафе,Западный административный округ,район Раменки,"город Москва, Мичуринский проспект, дом 16",18,37.506649850454174,55.70282900041373,"{type=Point, coordinates=[37.506649850454174, 55.70282900041373]}"
9631,Кафе «Фаринари»,832187330,кафе,Западный административный округ,район Раменки,"город Москва, Ломоносовский проспект, дом 25, корпус 1",46,37.533030085010566,55.69418385156345,"{type=Point, coordinates=[37.53303008501057, 55.69418385156345]}"
9632,Кофе с собой,832187336,кафе,Троицкий административный округ,поселение Первомайское,"город Москва, Восточная улица, дом 9",3,37.21274519011671,55.52531187986044,"{type=Point, coordinates=[37.21274519011671, 55.52531187986044]}"
9633,Шоколадница,832187339,кафе,Центральный административный округ,район Якиманка,"город Москва, улица Шаболовка, дом 10, корпус 1",48,37.61037946259551,55.723665089964896,"{type=Point, coordinates=[37.6103794625955, 55.7236650899649]}"
9637,Даблби,832187364,кафе,Центральный административный округ,Красносельский район,"город Москва, Каланчёвская улица, дом 17, строение 1",20,37.65210017126995,55.77292282549183,"{type=Point, coordinates=[37.65210017126995, 55.772922825491825]}"
9640,Пекарня ПанПан,832187372,кафе,Северо-Восточный административный округ,район Марфино,"город Москва, улица Академика Королёва, дом 18",12,37.60084740470813,55.82214118577394,"{type=Point, coordinates=[37.600847404708134, 55.82214118577394]}"
9641,Грязные танцы,832187373,кафе,Северо-Восточный административный округ,район Южное Медведково,"город Москва, проезд Дежнёва, дом 13",25,37.64119725484626,55.87066359405183,"{type=Point, coordinates=[37.64119725484626, 55.87066359405182]}"
9642,Кафе «МитПоинт»,832187376,кафе,Центральный административный округ,Пресненский район,"город Москва, Брюсов переулок, дом 11, строение 1",1,37.60588511113476,55.75887660046861,"{type=Point, coordinates=[37.60588511113476, 55.758876600468604]}"
9644,Арт Кафе «New Place Moscow»,832187383,кафе,Восточный административный округ,район Соколиная Гора,"город Москва, площадь Журавлёва, дом 2, строение 2",120,37.70231,55.784,"{type=Point, coordinates=[37.70231, 55.784]}"
9645,Кафе-столовая,832187384,кафе,Восточный административный округ,район Восточное Измайлово,"город Москва, Нижняя Первомайская улица, дом 77",16,37.820264307108765,55.79163642270068,"{type=Point, coordinates=[37.82026430710876, 55.79163642270068]}"
