,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData
10444,Black Hat,878846616,бар,Центральный административный округ,Тверской район,"город Москва, Садовая-Каретная улица, дом 20, строение 1",45,37.610325805600645,55.77262661337279,"{type=Point, coordinates=[37.61032580560065, 55.77262661337279]}"
10455,Крафтмен,878846656,бар,Центральный административный округ,Мещанский район,"город Москва, улица Щепкина, дом 33",47,37.62870599144507,55.779674958359195,"{type=Point, coordinates=[37.628705991445074, 55.77967495835919]}"
10464,White Star Lounge,878846700,бар,Восточный административный округ,район Перово,"город Москва, Новогиреевская улица, дом 29, корпус 1",40,37.79774682450723,55.75514186255884,"{type=Point, coordinates=[37.79774682450723, 55.75514186255883]}"
10510,Бар «Игги Паб»,878846947,бар,Центральный административный округ,Пресненский район,"город Москва, Большая Никитская улица, дом 23/14/9",30,37.59925126412945,55.75703797387272,"{type=Point, coordinates=[37.59925126412945, 55.75703797387272]}"
10522,Клуб «ПодZемка»,878847041,бар,Центральный административный округ,Пресненский район,"город Москва, Кудринская площадь, дом 1",70,37.580833879039616,55.759149044867684,"{type=Point, coordinates=[37.58083387903962, 55.75914904486769]}"
10528,Батчери,878847062,бар,Центральный административный округ,Басманный район,"город Москва, Бауманская улица, дом 54, строение 1",90,37.679083442627736,55.769154591679055,"{type=Point, coordinates=[37.679083442627736, 55.76915459167906]}"
10536,Бильярдный клуб «Француз»,878847103,бар,Восточный административный округ,район Ивановское,"город Москва, улица Сталеваров, дом 14, корпус 1",20,37.839015711574454,55.75810669216371,"{type=Point, coordinates=[37.839015711574454, 55.75810669216371]}"
10557,Бар 19-80,878847216,бар,Юго-Западный административный округ,район Южное Бутово,"город Москва, Южнобутовская улица, дом 117",38,37.52000172641241,55.53227913823017,"{type=Point, coordinates=[37.52000172641241, 55.53227913823018]}"
10566,Legendario,878847258,бар,Восточный административный округ,район Косино-Ухтомский,"город Москва, улица Дмитриевского, дом 10",35,37.885545,55.708822,"{type=Point, coordinates=[37.885545, 55.708822]}"
10573,Слепой пью,878847283,бар,Центральный административный округ,район Арбат,"город Москва, улица Арбат, дом 30/3, строение 1",25,37.59015801084757,55.749279139881295,"{type=Point, coordinates=[37.590158010847574, 55.749279139881295]}"
10581,БДД ПАБ,878847324,бар,Юго-Западный административный округ,район Северное Бутово,"город Москва, улица Знаменские Садки, дом 1А",50,37.57392802982537,55.571366038058976,"{type=Point, coordinates=[37.57392802982537, 55.57136603805898]}"
10594,Boilerman craft beer,878847381,бар,Центральный административный округ,Басманный район,"город Москва, Рубцовская набережная, дом 2, корпус 1",16,37.69626999146705,55.7746094492276,"{type=Point, coordinates=[37.69626999146705, 55.7746094492276]}"
10600,Крафтовый бар «КампаниЯ»,878847407,бар,Юго-Западный административный округ,район Южное Бутово,"город Москва, Южнобутовская улица, дом 44",20,37.535761769864926,55.53919969026655,"{type=Point, coordinates=[37.535761769864926, 55.53919969026654]}"
10603,Executive lounge (Клубная гостинная),878847417,бар,Западный административный округ,район Внуково,"город Москва, 2-я Рейсовая улица, дом 2",45,37.29260870884106,55.60910801658154,"{type=Point, coordinates=[37.29260870884106, 55.60910801658154]}"
10604,Лобби Бар,878847420,бар,Западный административный округ,район Внуково,"город Москва, 2-я Рейсовая улица, дом 2",86,37.29260870884106,55.60910801658154,"{type=Point, coordinates=[37.29260870884106, 55.60910801658154]}"
10607,SOHOMARKET,878847436,бар,Северный административный округ,Хорошёвский район,"город Москва, проезд Берёзовой Рощи, дом 8",10,37.51946125951564,55.78779185581526,"{type=Point, coordinates=[37.51946125951563, 55.78779185581526]}"
10619,Sky Lounge bar,878847616,бар,Западный административный округ,район Внуково,"город Москва, 2-я Рейсовая улица, дом 2",90,37.29260870884106,55.60910801658154,"{type=Point, coordinates=[37.29260870884106, 55.60910801658154]}"
10633,23'00,878847741,бар,Центральный административный округ,район Якиманка,"город Москва, улица Большая Полянка, дом 7/10, строение 1",36,37.617145151369066,55.74065637690678,"{type=Point, coordinates=[37.617145151369066, 55.74065637690678]}"
10635,Молли Малоун,878847746,бар,Центральный административный округ,Басманный район,"город Москва, Старая Басманная улица, владение 38",60,37.66937775600403,55.7692179354164,"{type=Point, coordinates=[37.66937775600403, 55.7692179354164]}"
10641,Биркрафт,878847782,бар,Центральный административный округ,Тверской район,"город Москва, Лесная улица, дом 1/2",45,37.585354996836955,55.77691911886852,"{type=Point, coordinates=[37.58535499683695, 55.77691911886852]}"
10661,Антон Палыч,878847930,бар,Центральный административный округ,Мещанский район,"город Москва, Цветной бульвар, дом 26, строение 1",116,37.6223661456081,55.7713089973076,"{type=Point, coordinates=[37.6223661456081, 55.7713089973076]}"
10663,BREWERY&BAR POET,878847936,бар,Центральный административный округ,Басманный район,"город Москва, Нижний Сусальный переулок, дом 5, строение 7",42,37.663457,55.759233758351435,"{type=Point, coordinates=[37.663457, 55.759233758351435]}"
10675,Wow Moscow Lounge,878847993,бар,Центральный административный округ,район Якиманка,"город Москва, Берсеневский переулок, дом 5, строение 1",44,37.610346312168325,55.740985476917366,"{type=Point, coordinates=[37.610346312168325, 55.74098547691736]}"
10697,Мужской клуб Маруся,878848085,бар,Центральный административный округ,район Арбат,"город Москва, улица Новый Арбат, дом 21",80,37.5854989850008,55.751993247677646,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
10709,Паб 885,878848135,бар,Центральный административный округ,Таганский район,"город Москва, Большая Андроньевская улица, дом 25/33",30,37.67274044618602,55.73999685031521,"{type=Point, coordinates=[37.67274044618602, 55.73999685031521]}"
10717,Бар «Крафтыч»,878848168,бар,Центральный административный округ,Таганский район,"город Москва, Воронцовская улица, дом 48",40,37.664033335442575,55.7327412287014,"{type=Point, coordinates=[37.66403333544258, 55.7327412287014]}"
10731,Django Lounge Кальян-бар,878848266,бар,Западный административный округ,район Солнцево,"город Москва, Домостроительная улица, дом 1, корпус 1",70,37.42676919686196,55.66619890899443,"{type=Point, coordinates=[37.42676919686196, 55.66619890899443]}"
10735,Бар Крафтовое пиво,878848285,бар,Южный административный округ,район Нагатино-Садовники,"город Москва, Каширское шоссе, дом 8, корпус 1",34,37.62859876033649,55.66690635794227,"{type=Point, coordinates=[37.62859876033649, 55.66690635794227]}"
10739,Бар «Stoy bar»,878848296,бар,Центральный административный округ,район Замоскворечье,"город Москва, Валовая улица, дом 30",60,37.626562916938845,55.73028403337552,"{type=Point, coordinates=[37.62656291693884, 55.73028403337552]}"
10740,Кальянная «МосКальян»,878848298,бар,Центральный административный округ,Пресненский район,"город Москва, Мантулинская улица, дом 12",80,37.55369843900044,55.75687696138854,"{type=Point, coordinates=[37.553698439000435, 55.75687696138854]}"
