,Unnamed: 0,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData,SeatClass
2832,9280,FOOD POINT,637552996,столовая,Северо-Восточный административный округ,район Северный,"город Москва, Долгопрудненское шоссе, дом 3",150,37.534857,55.921631999999995,"{type=Point, coordinates=[37.534857, 55.921632]}",Большой
2833,9285,Столовая в школе 2045 корп. 2312,637553180,столовая,Зеленоградский административный округ,район Крюково,"город Москва, город Зеленоград, корпус 2312",290,37.19151,55.968277,"{type=Point, coordinates=[37.19151, 55.968277]}",Большой
2834,9320,Свэна,637554288,столовая,Северный административный округ,Хорошёвский район,"город Москва, 2-й Хорошёвский проезд, дом 7, строение 1",40,37.5320953520866,55.772148533444,"{type=Point, coordinates=[37.5320953520866, 55.772148533444]}",Маленький
2835,9342,Школа,639249306,столовая,Центральный административный округ,Пресненский район,"город Москва, Новопресненский переулок, дом 6",30,37.5752826240409,55.76654489602917,"{type=Point, coordinates=[37.575282624040895, 55.76654489602917]}",Маленький
2836,9345,Суши-лавка «Японский пес»,639249327,столовая,Южный административный округ,район Чертаново Южное,"город Москва, улица Газопровод, дом 1, корпус 6А",5,37.60334699501354,55.59424434781353,"{type=Point, coordinates=[37.60334699501354, 55.59424434781353]}",Маленький
2837,9347,Закусочная,639249331,столовая,Южный административный округ,район Бирюлёво Западное,"Медынская улица, дом 7А, корпус 1",0,37.64811360607632,55.586666369588755,"{type=Point, coordinates=[37.64811360607631, 55.586666369588755]}",Маленький
2838,9348,Школа гимназия 1534,639249344,столовая,Юго-Западный административный округ,Академический район,"город Москва, улица Гримау, владение 11А",16,37.58151590205449,55.687169278848884,"{type=Point, coordinates=[37.58151590205449, 55.68716927884889]}",Маленький
2839,9361,СТ ШК.2013 «ШКОЛЬНИК-ЮЗ»,639249418,столовая,Юго-Западный административный округ,район Коньково,"Профсоюзная улица, дом 118Б, корпус 1",220,37.51996651702263,55.63641115723075,"{type=Point, coordinates=[37.51996651702263, 55.636411157230754]}",Большой
2840,9370,Столовая при ГОУ СОШ № 700,639249501,столовая,Западный административный округ,район Филёвский Парк,"город Москва, улица Барклая, дом 5А",120,37.50213796337599,55.7389523419343,"{type=Point, coordinates=[37.502137963375986, 55.7389523419343]}",Средний
2841,9397,СТОЛОВАЯ при Автокомбинате № 12,639249669,столовая,Юго-Западный административный округ,Обручевский район,"улица Обручева, дом 23, строение 1",40,37.531252,55.65845,"{type=Point, coordinates=[37.531252, 55.65845]}",Маленький
2842,9402,Столовая «Вкусно поесть»,639249686,столовая,Центральный административный округ,Пресненский район,"Вспольный переулок, дом 19/20, строение 1",100,37.58797436539612,55.762397926362794,"{type=Point, coordinates=[37.58797436539612, 55.76239792636278]}",Средний
2843,9407,Столовая,639249718,столовая,Южный административный округ,Даниловский район,"улица Ленинская Слобода, дом 26, строение 5",160,37.65309443579636,55.711353431356194,"{type=Point, coordinates=[37.65309443579637, 55.711353431356194]}",Большой
2844,9412,Столовая-Пекарня,639249729,столовая,Южный административный округ,район Чертаново Южное,"город Москва, улица Газопровод, дом 4А",10,37.605435901227814,55.5865360893192,"{type=Point, coordinates=[37.605435901227814, 55.586536089319196]}",Маленький
2845,9416,I love Sushi,639249770,столовая,Юго-Западный административный округ,район Южное Бутово,"город Москва, улица Горчакова, дом 11",2,37.532071,55.543730000000004,"{type=Point, coordinates=[37.532071, 55.54373]}",Маленький
2846,9417,Набатчиков А.П.,639249771,столовая,Западный административный округ,район Очаково-Матвеевское,"Проектируемый проезд N 5231, дом 8, строение 3",20,37.433867,55.66805600000001,"{type=Point, coordinates=[37.433867, 55.668056]}",Маленький
2847,9418,БУФЕТ ПРИ А-С ЮГО-ЗАПАД,639249779,столовая,Западный административный округ,район Тропарёво-Никулино,"Ленинский проспект, владение 164",16,37.481324,55.66348299999991,"{type=Point, coordinates=[37.481324, 55.6634829999999]}",Маленький
2848,9443,СТОЛОВАЯ ГЕНШТАБА,639249872,столовая,Центральный административный округ,район Арбат,"улица Знаменка, дом 14",90,37.60411579784309,55.75162777752815,"{type=Point, coordinates=[37.60411579784309, 55.75162777752817]}",Средний
2849,9451,Столовая,639249924,столовая,Новомосковский административный округ,поселение Сосенское,"поселение Сосенское, деревня Столбово, дом 1",24,37.469799,55.562413,"{type=Point, coordinates=[37.469799, 55.562413]}",Маленький
2850,9452,Школьно-базовая столовая,639249926,столовая,Западный административный округ,район Внуково,"Полевая улица, дом 20",205,37.21442086964657,55.61012306404446,"{type=Point, coordinates=[37.21442086964656, 55.61012306404446]}",Большой
2851,9489,БУРГЕР КИНГ,639259338,столовая,Северо-Восточный административный округ,Алексеевский район,"город Москва, проспект Мира, дом 114Б, строение 2",91,37.63824159488449,55.8080990011456,"{type=Point, coordinates=[37.6382415948845, 55.8080990011456]}",Средний
2852,9537,Столовая Радовать,645581493,столовая,Северо-Западный административный округ,район Хорошёво-Мнёвники,"город Москва, улица Народного Ополчения, дом 34, строение 1",45,37.48535983240336,55.78595870132234,"{type=Point, coordinates=[37.48535983240335, 55.785958701322336]}",Маленький
